YEAR,MONTH,DAY,MESSAGE
2024,10,30,TODAY'S Test Calendar Event                                 
2028,8,19,Marsha's Driver License exp 19-Sep-28
2026,4,2,Memorial Thursday 2-Apr-2026
2025,5,9,Holmes & Prince: Elder Class  12to16-May-2025
2025,4,28,Eye Doctor 29-Apr-2025 @ 7:30
2025,4,12,Memorial Saturday 12-Apr-2025
2025,3,1,Circuit Assy w CO
2025,1,19,KMS School for MS @ 8:30am
2025,1,18,KMS School for Elders @ 8:30an
2025,1,8,Dentist appointment 9-Jan-2025 @ 9:00
2025,1,4,BOE meet with Pioneers - North
2024,12,21,BOE meet with Pioneers - South
2024,11,22,#141 Congress Hgts Sun Nov 24 @ 9:30
2024,11,17,Circuit Assy w Branch Rep
2024,10,21,LDC Fall Protection on Zoom
2024,10,22,CO Visit: Oct 22-27  (South)
2024,10,15,CO Visit: Oct 15-20  (Temple)
2024,10,08,CO Visit: Oct 08-13  (North)
2024,10,28,Eye Doc Tuesday 10/29 @7:30am
2024,9,21,Congregation Picnic
2024,9,19,#141 Eng Germantown Sun Sep 29 @ 12:30
2024,9,09,LDC @ College Park Sep 10-14
2024,8,21,Bonavente Physical 8/22 @ 10:00am
2024,8,14,Bonavente Lab Work 8/15 @ 8:30am
2024,8,4,Bethel Trip Aug 11-13
2024,7,17,Regional Conv July 19-21
2024,6,13,Quarterly 6/15 @ 2:00pm
2024,5,11,Conv Meeting Eastern Shore
2024,5,10,Conv Meeting Eastern Shore
2024,5,9,Conv Meeting Eastern Shore
2024,4,20,#73 Forest Hgts Sat Apr 27 @ 10:30
2024,4,13,Conv Meeting Eastern Shore @ 1:00pm
2024,4,12,Conv Meeting Eastern Shore @ 1:00pm
2024,4,11,Conv Meeting Eastern Shore @ 1:00pm
2024,4,2,CO Visit: Apr 9-14 (South)
2024,4,1,CO Visit: Apr 2-7  (Temple)
2024,3,24,Memorial Sunday 24-Mar-2024
2024,3,17,Special Talk Sunday 17-Mar-2024
2024,3,21,Eye Doc Thursday 3/28 @7:30am
2024,3,5,CO Visit: Mar 12-17 (North)
2024,3,1,SClinton KH Yard Work
2024,2,18,Circuit Assembly with Circuit Overseer 2/25/2024
2024,2,9,Talk# 73: Greenbelt @ 3:30pm
2024,1,22,Auto Body repair begins
2024,1,18,Contact Auto Body to order parts
2024,1,8,Dentist Wed Jan 10 @ 9:00am
2024,1,5,FollowUp @ MtVernon Tues Jan 9 @ 9:30
