YEAR,MONTH,DAY,MESSAGE,CRITICAL
2025,05,01,TODAY'S Test Calendar Event (1),
2025,05,01,TODAY'S Test Calendar Event (2),
2025,05,01,TODAY'S Test Calendar Event (3),
2028,08,19,Marsha's Driver License exp 19-Sep-28,
2028,03,28,Master Card .... .... .... 0822 expires,
2027,07,21,Emissions Testing due for Explorer,
2027,03,31,BJ's membership expires - CANCEL AUTORENEW!!!,*
2027,03,22,Memorial Monday 22-Mar-2027,
2027,02,27,Circuit Assy w Branch Rep,
2027,02,09,Marsha'a appointment with Dr. Reddy,
2027,01,21,Wellnes Check with McVoy,
2027,01,11,Lab Work for Appointment,
2026,11,28,keithibrown.org expires with NameCheap.com,*
2026,11,15,Circuit Assy w CO,
2026,11,03,Eye Doctor 03-Nov-2026 @ 8:15 (dialate),*
2026,10,16,Fidelity & Guaranty Life Anniversay: L0748678 ( covering Marsha ),
2026,09,26,Special Talk,
2026,09,22,Dental visit @ 09:00am,*
2026,09,12,Congregation Picnic,*
2026,08,27,Google Drive Storage renews: $19.95,
2026,08,21,'Everlasting Happiness' Reg Conv 'North' Aug 21-23,
2026,08,16,Fidelity & Guaranty: send cancellation letter L0748678,*
2026,08,14,'Everlasting Happiness' Reg Conv 'South' Aug 14-16, 
2026,08,01,KINGDOM HALL INSPECTION AND EVALUATION,*
2026,07,30,Marsha'a appointment with Dr. Reddy,
2026,07,27,LDC HVAC unit replacement; 7/27 - 7/31: All meetings on Zoom,
2026,07,22,Walk Courageously With God: new CBS start,
2026,07,16,Appointment with McVoy,
2026,07,14,Temple's CO Visit: 7/14-19 - T E N T A T I V E,
2026,07,11,Wedding at Kirby Road KH - Persons from out of town,
2026,07,11,Talk #73 Sat-7/11/2026 @ 10:30am - North Bowie,*
2026,07,08,Lab Work for Appointment,
2026,07,01,Check WSSC for current water bill,*
2026,06,23,Test JavaScript Code,
2026,06,20,Preconvention meeting at 2pm in Annapolis,*
2026,06,20,Take the lead for Saturday FS after WT Study,
2026,06,15,(PSS) Pioneer Service School: June 15-20,
2026,06,14,Ring contract expires 6/14/2026: $105.98 to renew,*
2026,06,08,KH parking lot repairs,*
2026,06,07,Ericka Atkins: 60 days since reinstatement 4/7/2026,
2026,06,05,'Everlasting Happiness' Reg Conv 'Temple' Jun 05-07,
2026,05,19,South's CO Visit: 5/19-24,*
2026,05,18,Dental Appointment,
2026,05,18,'Disaster Preparedness—Expect the Unexpected.' CL&M:5/20,
2026,05,10,Microsoft 365 Family expires 5/10/2026: 129.99 - 137.79( w tax) to renew,
2026,04,25,Lillian Neal memorial @ Kirby Rd KH,
